Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.03     0.00     7200     0.00     0.00  __gnu_cxx::__promote_2<double, float, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type>::__type std::pow<double, float>(double, float)
  0.00      0.03     0.00     6600     0.00     0.00  std::complex<float> InnerProd<int, std::complex<float> >(int, std::complex<float>*, std::complex<float>*)
  0.00      0.03     0.00     3054     0.00     0.00  ran1(int*)
  0.00      0.03     0.00     2368     0.00     0.00  gauss1(int*)
  0.00      0.03     0.00     1800     0.00     0.00  void MatrixProd<int, std::complex<float> >(int, int, int, std::complex<float>**, std::complex<float>*, std::complex<float>*)
  0.00      0.03     0.00     1200     0.00     0.00  void MatrixProd<int, std::complex<float> >(int, int, int, std::complex<float>**, std::complex<float>**, std::complex<float>**)
  0.00      0.03     0.00     1200     0.00     0.00  std::complex<float>& std::complex<float>::operator/=<float>(std::complex<float> const&)
  0.00      0.03     0.00     1200     0.00     0.00  std::complex<float> std::operator/<float>(std::complex<float> const&, std::complex<float> const&)
  0.00      0.03     0.00      600     0.00     0.00  std::complex<float> std::conj<float>(std::complex<float> const&)
  0.00      0.03     0.00      446     0.00     0.00  std::complex<double>::complex(double, double)
  0.00      0.03     0.00      300     0.00     0.00  std::complex<double>::imag() const
  0.00      0.03     0.00      300     0.00     0.00  std::complex<double>::real() const
  0.00      0.03     0.00      300     0.00     0.00  std::complex<double>::__rep() const
  0.00      0.03     0.00      300     0.00     0.00  std::complex<double>& std::complex<double>::operator*=<double>(std::complex<double> const&)
  0.00      0.03     0.00      300     0.00     0.00  std::complex<float>::complex(std::complex<double> const&)
  0.00      0.03     0.00      300     0.00     0.00  std::complex<double> std::operator*<double>(std::complex<double> const&, std::complex<double> const&)
  0.00      0.03     0.00      150     0.00     0.00  void MatrixInv<int, std::complex<float> >(int, std::complex<float>**, std::complex<float>**)
  0.00      0.03     0.00       75     0.00     0.01  Equalizer::FDLSEstimation(std::complex<float>**, std::complex<float>**, std::complex<float>**, std::complex<float>**, int)
  0.00      0.03     0.00       75     0.00     0.06  Equalizer::FDLSEqualization(std::complex<float>*, std::complex<float>**, int, int, std::complex<float>*)
  0.00      0.03     0.00       75     0.00     0.00  std::complex<float>::operator*=(float)
  0.00      0.03     0.00       32     0.00     0.00  Turbo::calc_state_transition(int, int, int*)
  0.00      0.03     0.00        5     0.00     0.00  void Turbo::internal_interleaver<float>(float*, float*, int)
  0.00      0.03     0.00        5     0.00     0.00  void Turbo::internal_deinterleaver<float>(float*, float*, int)
  0.00      0.03     0.00        4     0.00     0.00  Turbo::reverse_int(int, int)
  0.00      0.03     0.00        2     0.00     0.00  Modulation::InitModTables()
  0.00      0.03     0.00        2     0.00     0.00  Modulation::~Modulation()
  0.00      0.03     0.00        2     0.00     0.00  RateMatcher::~RateMatcher()
  0.00      0.03     0.00        2     0.00     0.00  TransformPrecoder::~TransformPrecoder()
  0.00      0.03     0.00        2     0.00     0.00  SubblockInterleaver_lte<int, float>::SubblockInterleaver_lte()
  0.00      0.03     0.00        2     0.00     0.00  SubblockInterleaver_lte<int, float>::~SubblockInterleaver_lte()
  0.00      0.03     0.00        2     0.00     0.00  SubblockInterleaver_lte<int, int>::SubblockInterleaver_lte()
  0.00      0.03     0.00        2     0.00     0.00  SubblockInterleaver_lte<int, int>::~SubblockInterleaver_lte()
  0.00      0.03     0.00        2     0.00     0.00  OFDM::~OFDM()
  0.00      0.03     0.00        2     0.00     0.00  Turbo::set_parameters(int*, int, int, int, int)
  0.00      0.03     0.00        2     0.00     0.00  Turbo::constituent_encoder(int*, int, int*, int*)
  0.00      0.03     0.00        2     0.00     0.00  Turbo::set_generator_polynomials(int*, int, int)
  0.00      0.03     0.00        2     0.00     0.00  Turbo::~Turbo()
  0.00      0.03     0.00        2     0.00     0.00  ResMapper::~ResMapper()
  0.00      0.03     0.00        2     0.00     0.00  std::log(float)
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I_TURBO_INT_K_TABLE
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z18ReadInputFromFilesP4FIFOIiEPiPKc
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN10Modulation13InitModTablesEv
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN11RateMatcherC2EP8UserPara
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN17TransformPrecoderC2EP8UserPara
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4OFDMC2EP8UserPara
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6BSParaC2Ev
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN8UserParaC2EP6BSPara
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN9EqualizerC2EP6BSParaP8UserPara
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN9ResMapperC2EP8UserPara
  0.00      0.03     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00      0.03     0.00        1     0.00     0.00  ReadLTEChainOutput(int*, int*, int)
  0.00      0.03     0.00        1     0.00     0.00  GenerateLTEChainInput(int*, int, int*, int)
  0.00      0.03     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.03     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.03     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.03     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.03     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.03     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.03     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.03     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.03     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.03     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.03     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.03     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.03     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.03     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.03     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.03     0.00        1     0.00     0.00  Modulation::Modulating(int*, std::complex<float>*)
  0.00      0.03     0.00        1     0.00     4.85  Modulation::Demodulating(std::complex<float>*, float*, float)
  0.00      0.03     0.00        1     0.00     0.00  Modulation::Modulation(BSPara*)
  0.00      0.03     0.00        1     0.00     0.00  Modulation::Modulation(UserPara*)
  0.00      0.03     0.00        1     0.00     0.00  RateMatcher::RxRateMatching(float*, float*, int*)
  0.00      0.03     0.00        1     0.00     0.00  RateMatcher::TxRateMatching(int*, int*)
  0.00      0.03     0.00        1     0.00     0.00  RateMatcher::RateMatcher(UserPara*)
  0.00      0.03     0.00        1     0.00     0.00  RateMatcher::RateMatcher(BSPara*)
  0.00      0.03     0.00        1     0.00     0.00  TransformPrecoder::TransformDecoding(std::complex<float>*, std::complex<float>*)
  0.00      0.03     0.00        1     0.00     0.00  TransformPrecoder::TransformPrecoding(std::complex<float>*, std::complex<float>*)
  0.00      0.03     0.00        1     0.00     0.00  TransformPrecoder::TransformPrecoder(BSPara*)
  0.00      0.03     0.00        1     0.00     0.00  TransformPrecoder::TransformPrecoder(UserPara*)
  0.00      0.03     0.00        1     0.00     0.00  SubblockInterleaver_lte<int, float>::SubblockDeInterleaving(int, float**, float**)
  0.00      0.03     0.00        1     0.00     0.00  SubblockInterleaver_lte<int, int>::SubblockInterleaving(int, int**, int**)
  0.00      0.03     0.00        1     0.00     0.00  OFDM::modulating(std::complex<float>*, std::complex<float>*)
  0.00      0.03     0.00        1     0.00     0.00  OFDM::demodulating(std::complex<float>*, std::complex<float>*)
  0.00      0.03     0.00        1     0.00     0.00  OFDM::OFDM(UserPara*)
  0.00      0.03     0.00        1     0.00     0.00  OFDM::OFDM(BSPara*)
  0.00      0.03     0.00        1     0.00    20.00  Turbo::decode_block(float*, float*, float*, float*, int*, int)
  0.00      0.03     0.00        1     0.00    20.00  Turbo::TurboDecoding(float*, int*)
  0.00      0.03     0.00        1     0.00     0.00  Turbo::TurboEncoding(int*, int*)
  0.00      0.03     0.00        1     0.00     0.00  void Turbo::internal_interleaver<int>(int*, int*, int)
  0.00      0.03     0.00        1     0.00     0.00  Turbo::Turbo(BSPara*)
  0.00      0.03     0.00        1     0.00     0.00  Turbo::Turbo(UserPara*)
  0.00      0.03     0.00        1     0.00     0.00  BSPara::initBSPara()
  0.00      0.03     0.00        1     0.00     0.00  BSPara::BSPara()
  0.00      0.03     0.00        1     0.00     0.00  BSPara::~BSPara()
  0.00      0.03     0.00        1     0.00     0.00  UserPara::initUserPara()
  0.00      0.03     0.00        1     0.00     0.00  UserPara::geneDMRS()
  0.00      0.03     0.00        1     0.00     0.00  UserPara::UserPara(BSPara*)
  0.00      0.03     0.00        1     0.00     0.00  UserPara::~UserPara()
  0.00      0.03     0.00        1     0.00     5.15  Equalizer::Equalizing(std::complex<float>*, std::complex<float>*)
  0.00      0.03     0.00        1     0.00     5.15  Equalizer::LSFreqDomain(std::complex<float>*, std::complex<float>*)
  0.00      0.03     0.00        1     0.00     0.00  Equalizer::Equalizer(BSPara*, UserPara*)
  0.00      0.03     0.00        1     0.00     0.00  Equalizer::~Equalizer()
  0.00      0.03     0.00        1     0.00     0.00  ResMapper::SubCarrierMapping(std::complex<float>*, std::complex<float>*)
  0.00      0.03     0.00        1     0.00     0.00  ResMapper::SubCarrierDemapping(std::complex<float>*, std::complex<float>*)
  0.00      0.03     0.00        1     0.00     0.00  ResMapper::ResMapper(BSPara*)
  0.00      0.03     0.00        1     0.00     0.00  ResMapper::ResMapper(UserPara*)
  0.00      0.03     0.00        1     0.00     0.00  Scrambler<float>::Descrambling(float*, float*)
  0.00      0.03     0.00        1     0.00     0.00  Scrambler<float>::GenScrambInt()
  0.00      0.03     0.00        1     0.00     0.00  Scrambler<float>::Scrambler(BSPara*)
  0.00      0.03     0.00        1     0.00     0.00  Scrambler<float>::~Scrambler()
  0.00      0.03     0.00        1     0.00     0.00  Scrambler<int>::Scrambling(int*, int*)
  0.00      0.03     0.00        1     0.00     0.00  Scrambler<int>::GenScrambInt()
  0.00      0.03     0.00        1     0.00     0.00  Scrambler<int>::Scrambler(UserPara*)
  0.00      0.03     0.00        1     0.00     0.00  Scrambler<int>::~Scrambler()
  0.00      0.03     0.00        1     0.00     0.00  UserPara::GetpDMRS() const
  0.00      0.03     0.00        1     0.00     0.00  std::numeric_limits<double>::max()
  0.00      0.03     0.00        1     0.00     0.00  std::numeric_limits<double>::min()

			Call graph


granularity: each sample hit covers 2 byte(s) for 33.33% of 0.03 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00    0.03                 main [1]
                0.00    0.02       1/1           Turbo::TurboDecoding(float*, int*) [4]
                0.00    0.01       1/1           Equalizer::Equalizing(std::complex<float>*, std::complex<float>*) [6]
                0.00    0.00       1/1           Modulation::Demodulating(std::complex<float>*, float*, float) [10]
                0.00    0.00   40608/107554      std::complex<float>::complex(float, float) [30]
                0.00    0.00       2/2           RateMatcher::~RateMatcher() [57]
                0.00    0.00       2/2           Turbo::~Turbo() [67]
                0.00    0.00       2/2           Modulation::~Modulation() [56]
                0.00    0.00       2/2           TransformPrecoder::~TransformPrecoder() [58]
                0.00    0.00       2/2           ResMapper::~ResMapper() [68]
                0.00    0.00       2/2           OFDM::~OFDM() [63]
                0.00    0.00       1/1           BSPara::BSPara() [120]
                0.00    0.00       1/1           BSPara::initBSPara() [119]
                0.00    0.00       1/1           UserPara::UserPara(BSPara*) [124]
                0.00    0.00       1/2           std::log(float) [69]
                0.00    0.00       1/1           Turbo::Turbo(UserPara*) [118]
                0.00    0.00       1/1           RateMatcher::RateMatcher(UserPara*) [103]
                0.00    0.00       1/1           Scrambler<int>::Scrambler(UserPara*) [138]
                0.00    0.00       1/1           Modulation::Modulation(UserPara*) [100]
                0.00    0.00       1/1           TransformPrecoder::TransformPrecoder(UserPara*) [108]
                0.00    0.00       1/1           ResMapper::ResMapper(UserPara*) [131]
                0.00    0.00       1/1           OFDM::OFDM(UserPara*) [113]
                0.00    0.00       1/1           OFDM::OFDM(BSPara*) [114]
                0.00    0.00       1/1           ResMapper::ResMapper(BSPara*) [130]
                0.00    0.00       1/1           Equalizer::Equalizer(BSPara*, UserPara*) [126]
                0.00    0.00       1/1           TransformPrecoder::TransformPrecoder(BSPara*) [107]
                0.00    0.00       1/1           Modulation::Modulation(BSPara*) [99]
                0.00    0.00       1/1           Scrambler<float>::Scrambler(BSPara*) [134]
                0.00    0.00       1/1           RateMatcher::RateMatcher(BSPara*) [104]
                0.00    0.00       1/1           Turbo::Turbo(BSPara*) [117]
                0.00    0.00       1/1           GenerateLTEChainInput(int*, int, int*, int) [82]
                0.00    0.00       1/1           Turbo::TurboEncoding(int*, int*) [115]
                0.00    0.00       1/1           RateMatcher::TxRateMatching(int*, int*) [102]
                0.00    0.00       1/1           Scrambler<int>::Scrambling(int*, int*) [136]
                0.00    0.00       1/1           Modulation::Modulating(int*, std::complex<float>*) [98]
                0.00    0.00       1/1           TransformPrecoder::TransformPrecoding(std::complex<float>*, std::complex<float>*) [106]
                0.00    0.00       1/1           ResMapper::SubCarrierMapping(std::complex<float>*, std::complex<float>*) [128]
                0.00    0.00       1/1           OFDM::modulating(std::complex<float>*, std::complex<float>*) [111]
                0.00    0.00       1/1           OFDM::demodulating(std::complex<float>*, std::complex<float>*) [112]
                0.00    0.00       1/1           ResMapper::SubCarrierDemapping(std::complex<float>*, std::complex<float>*) [129]
                0.00    0.00       1/1           TransformPrecoder::TransformDecoding(std::complex<float>*, std::complex<float>*) [105]
                0.00    0.00       1/1           Scrambler<float>::Descrambling(float*, float*) [132]
                0.00    0.00       1/1           RateMatcher::RxRateMatching(float*, float*, int*) [101]
                0.00    0.00       1/1           ReadLTEChainOutput(int*, int*, int) [81]
                0.00    0.00       1/1           Scrambler<float>::~Scrambler() [135]
                0.00    0.00       1/1           Equalizer::~Equalizer() [127]
                0.00    0.00       1/1           Scrambler<int>::~Scrambler() [139]
                0.00    0.00       1/1           UserPara::~UserPara() [125]
                0.00    0.00       1/1           BSPara::~BSPara() [121]
-----------------------------------------------
                0.02    0.00       8/8           Turbo::decode_block(float*, float*, float*, float*, int*, int) [3]
[2]     66.7    0.02    0.00       8         Turbo::log_decoder(float*, float*, float*, float*, int) [2]
                0.00    0.00  758656/758656      max_log(float, float) [29]
-----------------------------------------------
                0.00    0.02       1/1           Turbo::TurboDecoding(float*, int*) [4]
[3]     66.7    0.00    0.02       1         Turbo::decode_block(float*, float*, float*, float*, int*, int) [3]
                0.02    0.00       8/8           Turbo::log_decoder(float*, float*, float*, float*, int) [2]
                0.00    0.00       5/5           void Turbo::internal_interleaver<float>(float*, float*, int) [52]
                0.00    0.00       5/5           void Turbo::internal_deinterleaver<float>(float*, float*, int) [53]
-----------------------------------------------
                0.00    0.02       1/1           main [1]
[4]     66.7    0.00    0.02       1         Turbo::TurboDecoding(float*, int*) [4]
                0.00    0.02       1/1           Turbo::decode_block(float*, float*, float*, float*, int*, int) [3]
-----------------------------------------------
                0.00    0.00     600/59400       std::complex<float> std::conj<float>(std::complex<float> const&) [22]
                0.00    0.00    1200/59400       std::complex<float>& std::complex<float>::operator/=<float>(std::complex<float> const&) [20]
                0.00    0.00   13200/59400       std::complex<float>& std::complex<float>::operator+=<float>(std::complex<float> const&) [16]
                0.00    0.00   14400/59400       std::complex<float>& std::complex<float>::operator*=<float>(std::complex<float> const&) [13]
                0.01    0.00   30000/59400       std::complex<float>& std::complex<float>::operator-=<float>(std::complex<float> const&) [8]
[5]     33.3    0.01    0.00   59400         std::complex<float>::imag() const [5]
-----------------------------------------------
                0.00    0.01       1/1           main [1]
[6]     17.2    0.00    0.01       1         Equalizer::Equalizing(std::complex<float>*, std::complex<float>*) [6]
                0.00    0.01       1/1           Equalizer::LSFreqDomain(std::complex<float>*, std::complex<float>*) [7]
-----------------------------------------------
                0.00    0.01       1/1           Equalizer::Equalizing(std::complex<float>*, std::complex<float>*) [6]
[7]     17.2    0.00    0.01       1         Equalizer::LSFreqDomain(std::complex<float>*, std::complex<float>*) [7]
                0.00    0.00      75/75          Equalizer::FDLSEqualization(std::complex<float>*, std::complex<float>**, int, int, std::complex<float>*) [12]
                0.00    0.00      75/75          Equalizer::FDLSEstimation(std::complex<float>**, std::complex<float>**, std::complex<float>**, std::complex<float>**, int) [18]
                0.00    0.00     300/600         std::complex<float> std::conj<float>(std::complex<float> const&) [22]
                0.00    0.00    1200/107554      std::complex<float>::complex(float, float) [30]
                0.00    0.00       1/1           UserPara::GetpDMRS() const [140]
-----------------------------------------------
                0.00    0.00    1200/30000       void MatrixInv<int, std::complex<float> >(int, std::complex<float>**, std::complex<float>**) [19]
                0.00    0.00   28800/30000       std::complex<float> std::operator-<float>(std::complex<float> const&, std::complex<float> const&) [9]
[8]     16.8    0.00    0.01   30000         std::complex<float>& std::complex<float>::operator-=<float>(std::complex<float> const&) [8]
                0.01    0.00   30000/59400       std::complex<float>::imag() const [5]
                0.00    0.00   30000/59400       std::complex<float>::real() const [31]
-----------------------------------------------
                0.00    0.00   28800/28800       Modulation::Demodulating(std::complex<float>*, float*, float) [10]
[9]     16.2    0.00    0.00   28800         std::complex<float> std::operator-<float>(std::complex<float> const&, std::complex<float> const&) [9]
                0.00    0.00   28800/30000       std::complex<float>& std::complex<float>::operator-=<float>(std::complex<float> const&) [8]
-----------------------------------------------
                0.00    0.00       1/1           main [1]
[10]    16.2    0.00    0.00       1         Modulation::Demodulating(std::complex<float>*, float*, float) [10]
                0.00    0.00   28800/28800       std::complex<float> std::operator-<float>(std::complex<float> const&, std::complex<float> const&) [9]
                0.00    0.00   28801/28801       __gnu_cxx::__promote_2<float, double, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type>::__type std::pow<float, double>(float, double) [32]
                0.00    0.00   28800/107554      std::complex<float>::complex(float, float) [30]
                0.00    0.00   28800/28800       float std::abs<float>(std::complex<float> const&) [35]
                0.00    0.00   14400/14400       Modulation::vecmin(float*, int) [36]
-----------------------------------------------
                0.00    0.00    3000/6600        void MatrixProd<int, std::complex<float> >(int, int, int, std::complex<float>**, std::complex<float>**, std::complex<float>**) [17]
                0.00    0.00    3600/6600        void MatrixProd<int, std::complex<float> >(int, int, int, std::complex<float>**, std::complex<float>*, std::complex<float>*) [15]
[11]    14.8    0.00    0.00    6600         std::complex<float> InnerProd<int, std::complex<float> >(int, std::complex<float>*, std::complex<float>*) [11]
                0.00    0.00   13200/14400       std::complex<float> std::operator*<float>(std::complex<float> const&, std::complex<float> const&) [14]
                0.00    0.00   13200/13200       std::complex<float>& std::complex<float>::operator+=<float>(std::complex<float> const&) [16]
                0.00    0.00    6600/107554      std::complex<float>::complex(float, float) [30]
-----------------------------------------------
                0.00    0.00      75/75          Equalizer::LSFreqDomain(std::complex<float>*, std::complex<float>*) [7]
[12]    14.7    0.00    0.00      75         Equalizer::FDLSEqualization(std::complex<float>*, std::complex<float>**, int, int, std::complex<float>*) [12]
                0.00    0.00    1800/1800        void MatrixProd<int, std::complex<float> >(int, int, int, std::complex<float>**, std::complex<float>*, std::complex<float>*) [15]
                0.00    0.00     975/1200        void MatrixProd<int, std::complex<float> >(int, int, int, std::complex<float>**, std::complex<float>**, std::complex<float>**) [17]
                0.00    0.00      75/150         void MatrixInv<int, std::complex<float> >(int, std::complex<float>**, std::complex<float>**) [19]
                0.00    0.00     300/600         std::complex<float> std::conj<float>(std::complex<float> const&) [22]
                0.00    0.00    8550/107554      std::complex<float>::complex(float, float) [30]
-----------------------------------------------
                0.00    0.00   14400/14400       std::complex<float> std::operator*<float>(std::complex<float> const&, std::complex<float> const&) [14]
[13]     8.1    0.00    0.00   14400         std::complex<float>& std::complex<float>::operator*=<float>(std::complex<float> const&) [13]
                0.00    0.00   14400/59400       std::complex<float>::imag() const [5]
                0.00    0.00   14400/59400       std::complex<float>::real() const [31]
-----------------------------------------------
                0.00    0.00    1200/14400       void MatrixInv<int, std::complex<float> >(int, std::complex<float>**, std::complex<float>**) [19]
                0.00    0.00   13200/14400       std::complex<float> InnerProd<int, std::complex<float> >(int, std::complex<float>*, std::complex<float>*) [11]
[14]     8.1    0.00    0.00   14400         std::complex<float> std::operator*<float>(std::complex<float> const&, std::complex<float> const&) [14]
                0.00    0.00   14400/14400       std::complex<float>& std::complex<float>::operator*=<float>(std::complex<float> const&) [13]
-----------------------------------------------
                0.00    0.00    1800/1800        Equalizer::FDLSEqualization(std::complex<float>*, std::complex<float>**, int, int, std::complex<float>*) [12]
[15]     8.1    0.00    0.00    1800         void MatrixProd<int, std::complex<float> >(int, int, int, std::complex<float>**, std::complex<float>*, std::complex<float>*) [15]
                0.00    0.00    3600/6600        std::complex<float> InnerProd<int, std::complex<float> >(int, std::complex<float>*, std::complex<float>*) [11]
-----------------------------------------------
                0.00    0.00   13200/13200       std::complex<float> InnerProd<int, std::complex<float> >(int, std::complex<float>*, std::complex<float>*) [11]
[16]     7.4    0.00    0.00   13200         std::complex<float>& std::complex<float>::operator+=<float>(std::complex<float> const&) [16]
                0.00    0.00   13200/59400       std::complex<float>::imag() const [5]
                0.00    0.00   13200/59400       std::complex<float>::real() const [31]
-----------------------------------------------
                0.00    0.00     225/1200        Equalizer::FDLSEstimation(std::complex<float>**, std::complex<float>**, std::complex<float>**, std::complex<float>**, int) [18]
                0.00    0.00     975/1200        Equalizer::FDLSEqualization(std::complex<float>*, std::complex<float>**, int, int, std::complex<float>*) [12]
[17]     6.7    0.00    0.00    1200         void MatrixProd<int, std::complex<float> >(int, int, int, std::complex<float>**, std::complex<float>**, std::complex<float>**) [17]
                0.00    0.00    3000/6600        std::complex<float> InnerProd<int, std::complex<float> >(int, std::complex<float>*, std::complex<float>*) [11]
                0.00    0.00   10800/107554      std::complex<float>::complex(float, float) [30]
-----------------------------------------------
                0.00    0.00      75/75          Equalizer::LSFreqDomain(std::complex<float>*, std::complex<float>*) [7]
[18]     2.3    0.00    0.00      75         Equalizer::FDLSEstimation(std::complex<float>**, std::complex<float>**, std::complex<float>**, std::complex<float>**, int) [18]
                0.00    0.00     225/1200        void MatrixProd<int, std::complex<float> >(int, int, int, std::complex<float>**, std::complex<float>**, std::complex<float>**) [17]
                0.00    0.00      75/150         void MatrixInv<int, std::complex<float> >(int, std::complex<float>**, std::complex<float>**) [19]
                0.00    0.00     900/107554      std::complex<float>::complex(float, float) [30]
-----------------------------------------------
                0.00    0.00      75/150         Equalizer::FDLSEstimation(std::complex<float>**, std::complex<float>**, std::complex<float>**, std::complex<float>**, int) [18]
                0.00    0.00      75/150         Equalizer::FDLSEqualization(std::complex<float>*, std::complex<float>**, int, int, std::complex<float>*) [12]
[19]     2.0    0.00    0.00     150         void MatrixInv<int, std::complex<float> >(int, std::complex<float>**, std::complex<float>**) [19]
                0.00    0.00    1200/1200        std::complex<float> std::operator/<float>(std::complex<float> const&, std::complex<float> const&) [21]
                0.00    0.00    1200/14400       std::complex<float> std::operator*<float>(std::complex<float> const&, std::complex<float> const&) [14]
                0.00    0.00    1200/30000       std::complex<float>& std::complex<float>::operator-=<float>(std::complex<float> const&) [8]
                0.00    0.00    2400/107554      std::complex<float>::complex(float, float) [30]
-----------------------------------------------
                0.00    0.00    1200/1200        std::complex<float> std::operator/<float>(std::complex<float> const&, std::complex<float> const&) [21]
[20]     0.7    0.00    0.00    1200         std::complex<float>& std::complex<float>::operator/=<float>(std::complex<float> const&) [20]
                0.00    0.00    1200/59400       std::complex<float>::imag() const [5]
                0.00    0.00    1200/59400       std::complex<float>::real() const [31]
-----------------------------------------------
                0.00    0.00    1200/1200        void MatrixInv<int, std::complex<float> >(int, std::complex<float>**, std::complex<float>**) [19]
[21]     0.7    0.00    0.00    1200         std::complex<float> std::operator/<float>(std::complex<float> const&, std::complex<float> const&) [21]
                0.00    0.00    1200/1200        std::complex<float>& std::complex<float>::operator/=<float>(std::complex<float> const&) [20]
-----------------------------------------------
                0.00    0.00     300/600         Equalizer::FDLSEqualization(std::complex<float>*, std::complex<float>**, int, int, std::complex<float>*) [12]
                0.00    0.00     300/600         Equalizer::LSFreqDomain(std::complex<float>*, std::complex<float>*) [7]
[22]     0.3    0.00    0.00     600         std::complex<float> std::conj<float>(std::complex<float> const&) [22]
                0.00    0.00     600/59400       std::complex<float>::imag() const [5]
                0.00    0.00     600/59400       std::complex<float>::real() const [31]
                0.00    0.00     600/107554      std::complex<float>::complex(float, float) [30]
-----------------------------------------------
                0.00    0.00  758656/758656      Turbo::log_decoder(float*, float*, float*, float*, int) [2]
[29]     0.0    0.00    0.00  758656         max_log(float, float) [29]
-----------------------------------------------
                0.00    0.00     150/107554      TransformPrecoder::TransformPrecoding(std::complex<float>*, std::complex<float>*) [106]
                0.00    0.00     150/107554      TransformPrecoder::TransformDecoding(std::complex<float>*, std::complex<float>*) [105]
                0.00    0.00     256/107554      OFDM::modulating(std::complex<float>*, std::complex<float>*) [111]
                0.00    0.00     256/107554      OFDM::demodulating(std::complex<float>*, std::complex<float>*) [112]
                0.00    0.00     300/107554      UserPara::initUserPara() [122]
